symbol,timestamp,bid_figure,bid_points,offer_figure,offer_points,high,low,open
AUD/JPY,1512388200139,85.,831,85.,836,85.516,85.898,85.623
AUD/JPY,1512388200139,85.,831,85.,836,85.516,85.898,85.623
AUD/JPY,1512388200139,85.,831,85.,836,85.516,85.898,85.623
AUD/JPY,1512388799907,85.,862,85.,871,85.516,85.898,85.623
AUD/JPY,1512388799907,85.,862,85.,871,85.516,85.898,85.623
AUD/JPY,1512388799907,85.,862,85.,871,85.516,85.898,85.623
AUD/JPY,1512472201156,85.,968,85.,975,85.376,86.208,85.410
AUD/JPY,1512472201156,85.,968,85.,975,85.376,86.208,85.410
AUD/JPY,1512472201156,85.,968,85.,975,85.376,86.208,85.410
AUD/JPY,1512472201156,85.,968,85.,975,85.376,86.208,85.410
AUD/JPY,1512472201156,85.,968,85.,975,85.376,86.208,85.410
AUD/JPY,1512482401602,85.,867,85.,874,85.376,86.208,85.410
AUD/JPY,1512482401602,85.,867,85.,874,85.376,86.208,85.410
AUD/JPY,1512482401602,85.,867,85.,874,85.376,86.208,85.410


AUD/JPY,1512483001773,85.,941,85.,951,85.376,86.208,85.410
AUD/JPY,1512483001773,85.,941,85.,951,85.376,86.208,85.410
AUD/JPY,1512483001773,85.,941,85.,951,85.376,86.208,85.410


AUD/JPY,1512483600600,85.,884,85.,889,85.376,86.208,85.410


AUD/JPY,1512483600600,85.,884,85.,889,85.376,86.208,85.410

AUD/JPY,1513163399693,85.,695,85.,704,85.662,85.985,85.852
AUD/JPY,1513163998855,85.,724,85.,731,85.662,85.985,85.852
AUD/JPY,1513164601986,85.,704,85.,711,85.662,85.985,85.852
AUD/JPY,1513165200163,85.,712,85.,719,85.662,85.985,85.852
AUD/JPY,1513165800450,85.,727,85.,734,85.662,85.985,85.852
AUD/JPY,1513166400578,85.,712,85.,720,85.662,85.985,85.852
AUD/JPY,1513167001353,85.,730,85.,737,85.662,85.985,85.852
AUD/JPY,1513167113008,85.,733,85.,741,85.662,85.985,85.852
AUD/JPY,1513167245167,85.,725,85.,734,85.662,85.985,85.852
AUD/JPY,1513167599116,85.,710,85.,717,85.662,85.985,85.852
AUD/JPY,1513167901539,85.,698,85.,707,85.662,85.985,85.852
AUD/JPY,1513168200262,85.,715,85.,722,85.662,85.985,85.852
AUD/JPY,1513168500230,85.,727,85.,734,85.662,85.985,85.852
AUD/JPY,1513168799791,85.,712,85.,720,85.662,85.985,85.852
AUD/JPY,1513169081813,85.,724,85.,731,85.662,85.985,85.852
AUD/JPY,1513169400559,85.,754,85.,761,85.662,85.985,85.852
AUD/JPY,1513169701833,85.,733,85.,740,85.662,85.985,85.852
AUD/JPY,1513170000498,85.,754,85.,763,85.662,85.985,85.852
AUD/JPY,1513170300762,85.,757,85.,764,85.662,85.985,85.852
AUD/JPY,1513170601451,85.,775,85.,784,85.662,85.985,85.852
AUD/JPY,1513170901828,85.,787,85.,796,85.662,85.985,85.852
AUD/JPY,1513171202007,85.,811,85.,820,85.662,85.985,85.852
AUD/JPY,1513171501154,85.,792,85.,799,85.662,85.985,85.852
AUD/JPY,1513171801319,85.,754,85.,802,85.662,85.985,85.852
AUD/JPY,1513172101495,85.,858,85.,868,85.662,85.985,85.852
AUD/JPY,1513172402478,85.,885,85.,895,85.662,85.985,85.852
AUD/JPY,1513172702036,85.,885,85.,895,85.662,85.985,85.852
AUD/JPY,1513173001579,85.,882,85.,891,85.662,85.985,85.852
AUD/JPY,1513173300922,85.,909,85.,916,85.662,85.985,85.852
AUD/JPY,1513173601746,85.,917,85.,925,85.662,85.985,85.852
AUD/JPY,1513173900649,85.,924,85.,931,85.662,85.985,85.852
AUD/JPY,1513174202164,85.,978,85.,985,85.662,85.990,85.852
AUD/JPY,1513174502286,85.,995,86.,004,85.662,86.028,85.852
AUD/JPY,1513174800037,85.,974,85.,981,85.662,86.028,85.852
AUD/JPY,1513175102136,85.,966,85.,973,85.662,86.028,85.852
AUD/JPY,1513175401681,85.,960,85.,969,85.662,86.028,85.852
AUD/JPY,1513175701456,86.,028,86.,037,85.662,86.064,85.852
AUD/JPY,1513176002143,86.,066,86.,076,85.662,86.097,85.852
AUD/JPY,1513177501502,86.,010,86.,020,85.662,86.097,85.852
AUD/JPY,1513177802328,86.,037,86.,049,85.662,86.097,85.852
AUD/JPY,1513178101396,86.,061,86.,071,85.662,86.097,85.852
AUD/JPY,1513178401871,86.,064,86.,073,85.662,86.097,85.852
AUD/JPY,1513178701894,86.,052,86.,062,85.662,86.097,85.852
AUD/JPY,1513179001404,86.,055,86.,065,85.662,86.097,85.852
AUD/JPY,1513179302324,86.,054,86.,062,85.662,86.098,85.852
AUD/JPY,1513179602139,86.,057,86.,067,85.662,86.098,85.852
AUD/JPY,1513179900845,86.,064,86.,071,85.662,86.100,85.852
AUD/JPY,1513180202610,86.,046,86.,055,85.662,86.100,85.852
AUD/JPY,1513180500939,86.,058,86.,067,85.662,86.100,85.852
AUD/JPY,1513180806274,86.,046,86.,052,85.662,86.100,85.852
AUD/JPY,1513181100871,86.,009,86.,016,85.662,86.100,85.852
AUD/JPY,1513181402473,86.,055,86.,064,85.662,86.100,85.852
