"Date","Time","Open","High","Low","Close","Total Ticks"
11/14/2017,14:15:00,86.714,86.727,86.669,86.699,2110
11/14/2017,14:30:00,86.699,86.72,86.65,86.669,3855
11/14/2017,14:45:00,86.669,86.706,86.545,86.559,4359
11/14/2017,15:00:00,86.559,86.561,86.299,86.329,7112
11/14/2017,15:15:00,86.329,86.42,86.329,86.383,3871
11/14/2017,15:30:00,86.383,86.393,86.319,86.386,3342
11/14/2017,15:45:00,86.386,86.47,86.369,86.441,3381
11/14/2017,16:00:00,86.441,86.531,86.405,86.509,3120
11/14/2017,16:15:00,86.509,86.525,86.465,86.477,2041
11/14/2017,16:30:00,86.477,86.574,86.477,86.568,1683
11/14/2017,16:45:00,86.568,86.582,86.538,86.577,1915
11/14/2017,17:00:00,86.577,86.609,86.56,86.565,1910
11/14/2017,17:15:00,86.565,86.577,86.548,86.556,1114
11/14/2017,17:30:00,86.556,86.575,86.543,86.543,1600
11/14/2017,17:45:00,86.543,86.55,86.437,86.463,2521
11/14/2017,18:00:00,86.463,86.527,86.429,86.509,3713
11/14/2017,18:15:00,86.509,86.553,86.5,86.539,2082
11/14/2017,18:30:00,86.539,86.548,86.502,86.525,1365
11/14/2017,18:45:00,86.525,86.557,86.516,86.548,1152
11/14/2017,19:00:00,86.548,86.573,86.541,86.563,1175
11/14/2017,19:15:00,86.563,86.578,86.521,86.545,989
11/14/2017,19:30:00,86.545,86.559,86.534,86.557,941
11/14/2017,19:45:00,86.557,86.575,86.551,86.565,1250
11/14/2017,20:00:00,86.565,86.582,86.531,86.544,1114
11/14/2017,20:15:00,86.544,86.554,86.515,86.524,622
11/14/2017,20:30:00,86.524,86.544,86.508,86.517,708
11/14/2017,20:45:00,86.517,86.559,86.506,86.552,1015
11/14/2017,21:00:00,86.552,86.57,86.547,86.565,785
11/14/2017,21:15:00,86.565,86.571,86.55,86.561,481
11/14/2017,21:30:00,86.561,86.573,86.546,86.571,585
11/14/2017,21:45:00,86.571,86.594,86.541,86.541,858
11/14/2017,22:00:00,86.541,86.558,86.487,86.535,882
11/14/2017,22:15:00,86.535,86.557,86.534,86.54,739
11/14/2017,22:30:00,86.54,86.542,86.517,86.519,756
11/14/2017,22:45:00,86.519,86.581,86.519,86.566,1026
11/14/2017,23:00:00,86.566,86.577,86.523,86.563,2200
11/14/2017,23:15:00,86.563,86.568,86.536,86.552,816
11/14/2017,23:30:00,86.552,86.552,86.52,86.535,948
11/14/2017,23:45:00,86.535,86.56,86.51,86.53,1144
11/15/2017,00:00:00,86.53,86.556,86.473,86.477,2062
11/15/2017,00:15:00,86.477,86.527,86.477,86.511,1578
11/15/2017,00:30:00,86.511,86.514,86.12,86.136,6141
11/15/2017,00:45:00,86.136,86.169,86.076,86.09,4374
11/15/2017,01:00:00,86.09,86.113,85.994,86.013,2864
11/15/2017,01:15:00,86.013,86.013,85.829,85.902,5536
11/15/2017,01:30:00,85.902,85.903,85.835,85.9,3972
11/15/2017,01:45:00,85.9,85.939,85.889,85.899,2594
11/15/2017,02:00:00,85.899,85.905,85.651,85.731,4608
11/15/2017,02:15:00,85.731,85.782,85.684,85.781,2978
11/15/2017,02:30:00,85.781,85.852,85.77,85.795,1790
11/15/2017,02:45:00,85.795,85.842,85.789,85.813,1625
11/15/2017,03:00:00,85.813,85.876,85.813,85.876,1103
11/15/2017,03:15:00,85.876,85.91,85.868,85.884,1518
11/15/2017,03:30:00,85.884,85.898,85.866,85.876,1392
11/15/2017,03:45:00,85.876,85.876,85.785,85.836,3406
11/15/2017,04:00:00,85.836,85.854,85.814,85.82,1792
11/15/2017,04:15:00,85.82,85.868,85.817,85.862,1449
11/15/2017,04:30:00,85.862,85.873,85.821,85.864,1394
11/15/2017,04:45:00,85.864,85.864,85.814,85.821,1669
11/15/2017,05:00:00,85.821,85.867,85.82,85.85,1543
11/15/2017,05:15:00,85.85,85.897,85.834,85.887,1461
11/15/2017,05:30:00,85.887,85.926,85.884,85.915,2327
11/15/2017,05:45:00,85.915,85.918,85.816,85.819,2017
11/15/2017,06:00:00,85.819,85.861,85.8,85.845,1855
11/15/2017,06:15:00,85.845,85.87,85.813,85.814,2004
11/15/2017,06:30:00,85.814,85.863,85.798,85.851,1404
11/15/2017,06:45:00,85.851,85.851,85.769,85.771,1844
11/15/2017,07:00:00,85.771,85.834,85.771,85.816,3741
11/15/2017,07:15:00,85.816,85.817,85.63,85.645,5130
11/15/2017,07:30:00,85.645,85.68,85.619,85.673,3561
11/15/2017,07:45:00,85.673,85.679,85.633,85.647,2978
11/15/2017,08:00:00,85.647,85.649,85.55,85.579,6156
11/15/2017,08:15:00,85.579,85.678,85.571,85.627,3075
11/15/2017,08:30:00,85.627,85.652,85.599,85.611,2957
11/15/2017,08:45:00,85.611,85.664,85.608,85.653,3040
11/15/2017,09:00:00,85.653,85.734,85.634,85.726,3684
11/15/2017,09:15:00,85.726,85.761,85.653,85.655,2846
11/15/2017,09:30:00,85.655,85.66,85.559,85.561,2858
11/15/2017,09:45:00,85.561,85.672,85.55,85.617,3262
11/15/2017,10:00:00,85.617,85.628,85.545,85.569,2065
11/15/2017,10:15:00,85.569,85.601,85.544,85.592,2712
11/15/2017,10:30:00,85.592,85.646,85.592,85.608,2128
11/15/2017,10:45:00,85.608,85.624,85.591,85.593,2360
11/15/2017,11:00:00,85.593,85.731,85.593,85.704,1909
11/15/2017,11:15:00,85.704,85.713,85.674,85.68,1278
11/15/2017,11:30:00,85.68,85.68,85.607,85.62,1970
11/15/2017,11:45:00,85.62,85.633,85.585,85.627,1797
11/15/2017,12:00:00,85.627,85.651,85.586,85.591,1851
11/15/2017,12:15:00,85.591,85.623,85.555,85.61,2140
11/15/2017,12:30:00,85.61,85.628,85.572,85.601,1318
11/15/2017,12:45:00,85.601,85.604,85.568,85.589,1567
11/15/2017,13:00:00,85.589,85.656,85.587,85.633,2744
11/15/2017,13:15:00,85.633,85.717,85.615,85.64,3739
11/15/2017,13:30:00,85.64,85.731,85.587,85.719,12885
11/15/2017,13:45:00,85.719,85.753,85.666,85.704,7888
11/15/2017,14:00:00,85.704,85.712,85.615,85.636,5887
11/15/2017,14:15:00,85.636,85.692,85.622,85.679,3264
11/15/2017,14:30:00,85.679,85.686,85.509,85.528,9618
11/15/2017,14:45:00,85.528,85.586,85.492,85.559,8005
11/15/2017,15:00:00,85.559,85.71,85.531,85.672,7012
11/15/2017,15:15:00,85.672,85.702,85.625,85.646,4307
11/15/2017,15:30:00,85.646,85.76,85.62,85.743,5002
11/15/2017,15:45:00,85.743,85.774,85.702,85.737,5066
11/15/2017,16:00:00,85.737,85.766,85.713,85.736,5030
11/15/2017,16:15:00,85.736,85.822,85.734,85.785,3109
11/15/2017,16:30:00,85.785,85.788,85.754,85.767,2405
11/15/2017,16:45:00,85.767,85.771,85.694,85.709,2031
11/15/2017,17:00:00,85.709,85.711,85.668,85.696,2272
11/15/2017,17:15:00,85.696,85.737,85.678,85.732,1511
11/15/2017,17:30:00,85.732,85.767,85.72,85.724,1339
11/15/2017,17:45:00,85.724,85.734,85.676,85.721,1728
11/15/2017,18:00:00,85.721,85.73,85.7,85.705,1341
11/15/2017,18:15:00,85.705,85.741,85.698,85.704,1619
11/15/2017,18:30:00,85.704,85.729,85.674,85.703,1665
11/15/2017,18:45:00,85.703,85.715,85.631,85.645,1648
11/15/2017,19:00:00,85.645,85.67,85.621,85.628,2403
11/15/2017,19:15:00,85.628,85.652,85.614,85.646,1878
11/15/2017,19:30:00,85.646,85.672,85.631,85.659,1767
11/15/2017,19:45:00,85.659,85.666,85.602,85.613,1754
11/15/2017,20:00:00,85.613,85.634,85.6,85.628,1557
11/15/2017,20:15:00,85.628,85.654,85.546,85.582,2759
11/15/2017,20:30:00,85.582,85.612,85.558,85.591,2713
11/15/2017,20:45:00,85.591,85.632,85.57,85.618,3689
11/15/2017,21:00:00,85.618,85.647,85.617,85.64,1262
11/15/2017,21:15:00,85.64,85.668,85.615,85.656,812
11/15/2017,21:30:00,85.656,85.656,85.607,85.62,713
11/15/2017,21:45:00,85.62,85.656,85.617,85.646,930
11/15/2017,22:00:00,85.646,85.649,85.567,85.605,1345
11/15/2017,22:15:00,85.605,85.625,85.564,85.609,2118
11/15/2017,22:30:00,85.609,85.629,85.582,85.612,943
11/15/2017,22:45:00,85.612,85.674,85.6,85.617,1839
11/15/2017,23:00:00,85.617,85.635,85.593,85.61,1546
11/15/2017,23:15:00,85.61,85.639,85.602,85.629,1519
11/15/2017,23:30:00,85.629,85.632,85.591,85.616,1495
11/15/2017,23:45:00,85.616,85.628,85.57,85.597,1762
11/16/2017,00:00:00,85.597,85.701,85.591,85.663,2977
11/16/2017,00:15:00,85.663,85.772,85.603,85.633,2815
11/16/2017,00:30:00,85.633,85.95,85.462,85.824,5673
11/16/2017,00:45:00,85.824,85.863,85.782,85.804,2261
11/16/2017,01:00:00,85.804,85.815,85.717,85.73,1898
11/16/2017,01:15:00,85.73,85.836,85.727,85.825,2354
11/16/2017,01:30:00,85.825,85.825,85.745,85.745,1797
11/16/2017,01:45:00,85.745,85.756,85.714,85.716,1345
11/16/2017,02:00:00,85.716,85.928,85.716,85.918,2475
11/16/2017,02:15:00,85.918,85.929,85.877,85.909,2143
11/16/2017,02:30:00,85.909,85.909,85.821,85.831,1315
11/16/2017,02:45:00,85.831,85.841,85.803,85.817,952
11/16/2017,03:00:00,85.817,85.848,85.799,85.847,1218
11/16/2017,03:15:00,85.847,85.878,85.836,85.843,1264
11/16/2017,03:30:00,85.843,85.844,85.817,85.817,948
11/16/2017,03:45:00,85.817,85.837,85.79,85.823,1147
11/16/2017,04:00:00,85.823,85.866,85.817,85.83,1349
11/16/2017,04:15:00,85.83,85.89,85.819,85.872,1671
11/16/2017,04:30:00,85.872,85.874,85.826,85.841,835
11/16/2017,04:45:00,85.841,85.892,85.841,85.849,1525
11/16/2017,05:00:00,85.849,85.881,85.835,85.859,1516
11/16/2017,05:15:00,85.859,85.868,85.813,85.841,1493
11/16/2017,05:30:00,85.841,85.842,85.798,85.828,1415
11/16/2017,05:45:00,85.828,85.894,85.821,85.883,1489
11/16/2017,06:00:00,85.883,85.89,85.842,85.887,2011
11/16/2017,06:15:00,85.887,85.887,85.785,85.791,2529
11/16/2017,06:30:00,85.791,85.837,85.767,85.83,1970
11/16/2017,06:45:00,85.83,85.867,85.812,85.866,1572
11/16/2017,07:00:00,85.866,85.879,85.826,85.86,2792
11/16/2017,07:15:00,85.86,85.883,85.817,85.88,3681
11/16/2017,07:30:00,85.88,85.899,85.855,85.897,2394
11/16/2017,07:45:00,85.897,85.912,85.864,85.879,2335
11/16/2017,08:00:00,85.879,85.884,85.839,85.872,3891
11/16/2017,08:15:00,85.872,85.915,85.866,85.89,3294
11/16/2017,08:30:00,85.89,85.968,85.886,85.939,2432
11/16/2017,08:45:00,85.939,85.965,85.92,85.944,2543
11/16/2017,09:00:00,85.944,85.965,85.915,85.951,2412
11/16/2017,09:15:00,85.951,85.987,85.942,85.974,2086
11/16/2017,09:30:00,85.974,85.998,85.946,85.981,2097
11/16/2017,09:45:00,85.981,85.982,85.917,85.976,2007
11/16/2017,10:00:00,85.976,86.01,85.964,85.971,1922
11/16/2017,10:15:00,85.971,86.005,85.948,86.002,2040
11/16/2017,10:30:00,86.002,86.015,85.963,85.975,1728
11/16/2017,10:45:00,85.975,85.982,85.953,85.964,1544
11/16/2017,11:00:00,85.964,85.99,85.955,85.963,1816
11/16/2017,11:15:00,85.963,85.97,85.905,85.916,1530
11/16/2017,11:30:00,85.916,85.918,85.855,85.868,1802
11/16/2017,11:45:00,85.868,85.878,85.825,85.829,1507
11/16/2017,12:00:00,85.829,85.911,85.827,85.911,1546
11/16/2017,12:15:00,85.911,85.929,85.877,85.879,1079
11/16/2017,12:30:00,85.879,85.91,85.864,85.868,1144
11/16/2017,12:45:00,85.868,85.878,85.846,85.847,1283
11/16/2017,13:00:00,85.847,85.864,85.801,85.845,3367
11/16/2017,13:15:00,85.845,85.899,85.812,85.877,2616
11/16/2017,13:30:00,85.877,85.899,85.853,85.878,4028
11/16/2017,13:45:00,85.878,85.882,85.812,85.812,2305
11/16/2017,14:00:00,85.812,85.859,85.812,85.843,2160
11/16/2017,14:15:00,85.843,85.876,85.818,85.822,3864
11/16/2017,14:30:00,85.822,85.851,85.709,85.727,3921
11/16/2017,14:45:00,85.727,85.741,85.672,85.707,2939
11/16/2017,15:00:00,85.707,85.733,85.674,85.717,4515
11/16/2017,15:15:00,85.717,85.736,85.684,85.705,3124
11/16/2017,15:30:00,85.705,85.783,85.687,85.73,3812
11/16/2017,15:45:00,85.73,85.77,85.639,85.644,4200
11/16/2017,16:00:00,85.644,85.706,85.628,85.677,4322
11/16/2017,16:15:00,85.677,85.688,85.616,85.648,2700
11/16/2017,16:30:00,85.648,85.668,85.632,85.637,2079
11/16/2017,16:45:00,85.637,85.687,85.626,85.679,1739
11/16/2017,17:00:00,85.679,85.688,85.653,85.662,1183
11/16/2017,17:15:00,85.662,85.69,85.64,85.688,1551
11/16/2017,17:30:00,85.688,85.696,85.651,85.693,1901
11/16/2017,17:45:00,85.693,85.721,85.673,85.697,1281
11/16/2017,18:00:00,85.697,85.766,85.696,85.766,1372
11/16/2017,18:15:00,85.766,85.793,85.757,85.763,1246
11/16/2017,18:30:00,85.763,85.809,85.763,85.806,1258
11/16/2017,18:45:00,85.806,85.822,85.76,85.766,1827
11/16/2017,19:00:00,85.766,85.796,85.757,85.785,1987
11/16/2017,19:15:00,85.785,85.808,85.77,85.779,1541
11/16/2017,19:30:00,85.779,85.78,85.755,85.756,944
11/16/2017,19:45:00,85.756,85.767,85.732,85.735,1317
11/16/2017,20:00:00,85.735,85.776,85.731,85.775,845
